date,victimization_primary,incident_primary,gunshot_injury_i,community_area,age,sex,race,location_description,latitude,longitude
2026-01-11 23:06:00,HOMICIDE,HOMICIDE,YES,WOODLAWN,30-39,F,BLK,STREET,41.7700069041419,-87.6085790586992
2026-01-11 20:21:00,BATTERY,BATTERY,YES,GRAND BOULEVARD,0-19,F,BLK,SIDEWALK,41.8030930958581,-87.6148609413008
2026-01-11 20:21:00,BATTERY,BATTERY,YES,GRAND BOULEVARD,0-19,M,BLK,SIDEWALK,41.8030930958581,-87.6148609413008
2026-01-11 14:13:00,NON-FATAL,NON-FATAL,YES,ENGLEWOOD,20-29,M,BLK,STREET,41.7603530958581,-87.6442790586992
2026-01-11 03:05:00,BATTERY,BATTERY,YES,ROSELAND,20-29,M,BLK,HOSPITAL BUILDING / GROUNDS,41.6929430958581,-87.6245609413008
2026-01-10 22:26:00,HOMICIDE,HOMICIDE,YES,AVALON PARK,30-39,M,BLK,STREET,41.7400430958581,-87.5840709413008
2026-01-10 21:28:00,BATTERY,BATTERY,YES,WOODLAWN,20-29,M,WWH,APARTMENT,41.7773269041419,-87.6002709413008
2026-01-10 02:16:00,HOMICIDE,HOMICIDE,NO,LOOP,30-39,M,BLK,"CTA ""L"" TRAIN",41.8853569041419,-87.6314409413008
2026-01-10 00:15:00,BATTERY,BATTERY,YES,BRIGHTON PARK,20-29,F,WBH,STREET,41.8091196689467,-87.6845285474708
2026-01-09 19:03:00,BATTERY,BATTERY,YES,GAGE PARK,20-29,M,WWH,SIDEWALK,41.7979116541419,-87.7031046538797
2026-01-09 19:03:00,BATTERY,BATTERY,YES,GAGE PARK,20-29,M,WWH,SIDEWALK,41.7979116541419,-87.7031046538797
2026-01-09 18:45:00,BATTERY,BATTERY,YES,NORTH LAWNDALE,40-49,M,BLK,SIDEWALK,41.8594716541419,-87.7069853461203
2026-01-09 11:24:00,HOMICIDE,HOMICIDE,NO,CHICAGO LAWN,30-39,F,WHI,PARKING LOT,41.7716283458581,-87.6840053461203
2026-01-09 09:22:00,HOMICIDE,HOMICIDE,YES,SOUTH SHORE,20-29,F,BLK,APARTMENT,41.7653616541419,-87.5821446538796
2026-01-08 22:30:00,HOMICIDE,HOMICIDE,YES,GAGE PARK,0-19,M,WWH,PARKING LOT,41.7866716541419,-87.6835546538796
2026-01-08 22:30:00,NON-FATAL,HOMICIDE,YES,GAGE PARK,40-49,M,WWH,PARKING LOT,41.7866716541419,-87.6835546538796
2026-01-08 22:00:00,BATTERY,BATTERY,YES,ASHBURN,20-29,M,WWH,STREET,41.7504683458581,-87.6834353461203
2026-01-08 19:57:00,BATTERY,BATTERY,YES,AUBURN GRESHAM,40-49,F,BLK,APARTMENT,41.7550105,-87.64766
2026-01-08 19:29:00,BATTERY,BATTERY,YES,BEVERLY,50-59,M,BLK,AUTO / BOAT / RV DEALERSHIP,41.7266230958581,-87.6823490586992
2026-01-08 08:13:00,HOMICIDE,HOMICIDE,YES,WEST GARFIELD PARK,30-39,M,BLK,STREET,41.8772830958581,-87.7232190586992
2026-01-07 21:00:00,BATTERY,BATTERY,YES,EAST GARFIELD PARK,30-39,M,BLK,SIDEWALK,41.8744405,-87.71759
2026-01-07 16:32:00,BATTERY,HOMICIDE,YES,ROSELAND,20-29,M,BLK,APARTMENT,41.7123616541419,-87.6212146538797
